"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COL1A2",6.76890785053749e-266,1.42014731836835,1,0.998,1.4810370376976e-261
"FTH1",5.45287246990382e-186,-0.603860372787281,0.999,1,1.19308849641496e-181
"COL1A1",3.16877165017568e-183,1.40130416498053,0.998,0.972,6.93327237058438e-179
"CDH13",8.36658926908155e-180,1.07393839316771,0.986,0.942,1.83060973207504e-175
"SPARC",1.36086907335565e-178,0.897049023087506,1,0.999,2.97758153250217e-174
"NTN4",2.13031112827758e-156,1.0803457611717,0.949,0.835,4.66112074867134e-152
"COX1",2.90037025031792e-153,0.573358387688062,1,0.999,6.34601010769561e-149
"DUT",4.47569355253587e-150,-1.03372683187283,0.861,0.969,9.79281749294848e-146
"FBLN2",3.63916398848645e-148,1.07687254810778,0.956,0.878,7.96249080680836e-144
"ECHDC1",1.05393786462598e-146,0.730374131050749,0.997,0.987,2.30601604780164e-142
"LUM",3.36447423949054e-145,0.85814101600438,0.99,0.975,7.36146963600531e-141
"ENSBTAG00000034220",4.35503039182697e-145,1.23841650084972,0.898,0.688,9.5288064973174e-141
"RPL14",8.10516814124348e-142,-0.289259113127797,1,0.999,1.77341078930407e-137
"CTSD",5.56970529896515e-133,0.881742063957789,0.987,0.969,1.21865151941358e-128
"TPM1",1.96841359347936e-131,0.867600420581539,0.998,0.995,4.30688894253283e-127
"ND1",2.72960170606718e-130,0.740705185707786,0.999,0.999,5.97236853287499e-126
"RPL3",3.75922059323995e-122,-0.300621386737832,0.999,1,8.22517465800902e-118
"MGST1",9.33527745483394e-118,-0.943143096638863,0.858,0.953,2.04255870711767e-113
"CCND2",6.7736011959165e-115,0.802335400987346,0.991,0.972,1.48206394166653e-110
"RPL13",6.81686926038849e-114,-0.234322048111611,0.999,1,1.491530994173e-109
"TNS1",1.90209346279569e-110,0.836797655410558,0.958,0.886,4.16178049659697e-106
"ATP6",6.76249837560865e-110,0.481242926759734,0.998,1,1.47963464458317e-105
"HMGB1",4.5674979785645e-105,-0.789185933349253,0.991,0.995,9.99368557709914e-101
"CCDC102B",6.70139952565733e-105,1.32417684631046,0.763,0.479,1.46626621621382e-100
"COX2",6.85553636844408e-101,0.393115126467977,1,1,1.49999135741556e-96
"PAX3",4.1321870281462e-100,1.95386128804662,0.533,0.21,9.04122521758389e-96
"PTMA.1",1.21611710052947e-99,-0.681450350526314,0.993,0.997,2.66086421595847e-95
"PTMS",6.23152933789126e-98,-0.498984450145031,0.994,0.996,1.36345861913061e-93
"ND3",8.35898002614516e-98,0.743161906637097,0.997,0.992,1.82894482972056e-93
"RPS13",1.24807433985617e-97,-0.238964824673824,0.999,0.999,2.73078665560529e-93
"ATOX1",1.02509034774255e-94,0.685264700686298,0.982,0.96,2.24289768086069e-90
"RPL18A",1.01351943498058e-89,-0.208241894517824,0.999,1,2.2175805237375e-85
"RNASEH2C",4.41020086210963e-86,-0.932462395637749,0.687,0.851,9.64951948629588e-82
"TIMP2",8.4651700530935e-86,0.636053305904623,0.999,0.999,1.85217920761686e-81
"CCT3",1.61098183215204e-84,-0.46218887986784,0.969,0.991,3.52482824874867e-80
"TXN",8.22392384606933e-84,-0.472432074049063,0.995,0.997,1.79939453751997e-79
"RPL7A",1.96892710850863e-83,-0.194542427432078,1,1,4.30801251341689e-79
"RPL5",1.99219886119032e-81,-0.245584173760466,0.999,1,4.35893110828442e-77
"ND4",4.19089147146529e-81,0.430328933727169,0.998,0.998,9.16967053956605e-77
"SNX25",2.23557139788052e-80,0.644216752746018,0.959,0.899,4.89143021856259e-76
"RPS6",3.38096815188887e-80,-0.207534114591242,0.999,1,7.39755831633286e-76
"PYGL",8.09997466764485e-80,0.820983917681223,0.859,0.753,1.77227445728069e-75
"NACA",1.40308840472539e-79,-0.29451946695764,0.999,0.999,3.06995742953916e-75
"KCNK12",2.7726604679806e-78,1.43947173442791,0.637,0.385,6.06658110394155e-74
"MMP23",3.17870994225893e-78,0.819074509159339,0.892,0.707,6.95501735366254e-74
"ND2",1.37262361932296e-75,0.446647464298104,0.998,0.999,3.00330047907863e-71
"PSMA7",2.18123748178043e-75,-0.411419428257107,0.988,0.995,4.77254761013558e-71
"EIF4A1",2.82109923402179e-75,-0.332568156832844,0.997,0.999,6.17256512403967e-71
"SNRPB",1.30900442681819e-74,-0.613628414773719,0.927,0.954,2.8641016858782e-70
"RPL30",6.42602422174217e-74,-0.197543391263618,1,1,1.40601409971719e-69
"RPL6",1.10990981196987e-72,-0.19466465125682,1,1,2.42848266859007e-68
"H2AZ2",4.72095958794696e-71,-0.535911531556175,0.978,0.986,1.03294595784279e-66
"ND5",4.76715026115937e-71,0.548087687639751,0.986,0.982,1.04305247714167e-66
"CCDC80",7.50053306794935e-71,0.553616613628202,1,0.999,1.64111663526732e-66
"TPM2",3.2327227644868e-70,0.454885993707768,0.998,0.997,7.07319740869712e-66
"RPL23A",4.3120949439963e-70,-0.282114107313556,0.997,0.998,9.43486373746389e-66
"ACTN1",3.24217437975987e-68,0.837369984138006,0.908,0.807,7.0938775429146e-64
"PLXDC2",3.26268836869057e-68,0.612496772284287,0.96,0.914,7.13876215069497e-64
"SLC25A5",5.89516373584854e-68,-0.684296062757733,0.839,0.921,1.28986182540366e-63
"DCBLD2",1.25814991947606e-67,0.828353293014515,0.887,0.828,2.75283202381361e-63
"CRYAB",1.49953605014113e-67,-0.908548162972868,0.75,0.891,3.2809848777088e-63
"CDH17",2.04351258287975e-67,1.93829827223604,0.462,0.209,4.4712055313409e-63
"ANP32B",2.41318902740889e-67,-0.480743158102555,0.961,0.979,5.28005759197065e-63
"SPC24",6.99224113218599e-67,-1.23511918067567,0.465,0.689,1.52990235972229e-62
"RPS27A",2.20831423267111e-66,-0.1641921437778,1,1,4.8317915410844e-62
"DEK",6.88027285146577e-66,-0.592217819215034,0.93,0.971,1.50540369990071e-61
"CHCHD1",8.33169680926546e-65,-0.78064900817551,0.633,0.821,1.82297526186728e-60
"RPS2",1.01965515640043e-64,-0.169241753547641,1,1,2.23100548220414e-60
"FUS",1.57531387781836e-64,-0.704950861567226,0.716,0.87,3.44678676466656e-60
"RPL24",7.82985147799723e-64,-0.171460119722363,1,0.999,1.71317150338579e-59
"RPL19",1.62536499532588e-62,-0.158772328214525,0.999,1,3.55629860977302e-58
"SFRP4",5.03988054353908e-62,-1.41401727101651,0.354,0.637,1.10272586292635e-57
"ZC3H10",1.10013318252358e-61,0.256739446044473,0.997,0.994,2.40709140336159e-57
"CLTC",1.16619523597065e-61,0.369386765254533,0.988,0.984,2.55163517630377e-57
"HNRNPA2B1",1.69869372521971e-61,-0.496377761221583,0.968,0.986,3.71674187078071e-57
"IGFBP3",5.92296688992948e-61,1.62566241295395,0.742,0.558,1.29594515551657e-56
"NRM",1.31716031689073e-60,-1.46803633478469,0.199,0.455,2.88194677335691e-56
"RPL8",1.81004560187746e-60,-0.147860890885782,1,1,3.96037977690789e-56
"MXRA8",1.49513230362488e-59,1.18145950232813,0.726,0.551,3.27134948033124e-55
"LAMB2",1.59978326889484e-59,0.64512222874951,0.912,0.813,3.50032579234192e-55
"CSF1",8.62483976703412e-59,0.652326852305937,0.967,0.919,1.88711494102706e-54
"HTRA3",9.72806485135005e-59,-1.80008240400259,0.162,0.402,2.12850058947539e-54
"UCP2",1.44141776417139e-58,-0.919414897694704,0.503,0.72,3.153822068007e-54
"DSTN",3.43062317342264e-58,0.493925829183212,0.988,0.98,7.50620350344874e-54
"BEX3",3.62472177216018e-58,-1.47318039370566,0.144,0.388,7.93089123748648e-54
"HNRNPA1",5.36192242768954e-58,-0.455947895252735,0.937,0.985,1.17318862717847e-53
"MAP1LC3A",2.26162149335201e-57,0.42661037118439,0.988,0.973,4.9484278274542e-53
"PAM",5.72593415257814e-57,0.797477835090979,0.821,0.697,1.2528343925841e-52
"RPL10A",1.81264253212244e-56,-0.175264071555364,0.999,1,3.96606186028389e-52
"CTNNAL1",2.55054705903408e-56,0.774797932120251,0.843,0.711,5.58059696516656e-52
"RPL22",8.79226160967744e-56,-0.22428401984526,0.998,0.999,1.92374684019742e-51
"RPS15",7.61156484930436e-55,-0.181943491233674,0.999,0.999,1.66541038902779e-50
"EIF5A",7.79053898753861e-55,-0.411587786528125,0.978,0.983,1.70456993047345e-50
"PTTG1",7.91801713068332e-55,-1.88456361539313,0.143,0.368,1.73246214819351e-50
"CDH2",1.04830151450124e-54,1.78883418222726,0.398,0.178,2.2936837137287e-50
"FLNA",1.29286035824802e-54,0.434366107435839,0.984,0.985,2.82877846384667e-50
"TPT1",1.34969321309845e-54,0.219176484303303,1,1,2.9531287502594e-50
