Gene,d0_to_d2_log2FC,d2_to_d5_log2FC,Total_log2FC
MT1A,-7.08443108166922,-2.57638514914706,-9.66081623081628
MT1E.1,-5.9794501590896,-2.91226626700946,-8.89171642609906
MT1E,-5.00770919692359,-1.07253429575628,-6.08024349267987
MT2A,-4.95528435919785,-1.71715096553424,-6.67243532473209
TOP2A,-3.90048759302342,-1.32555301035432,-5.22604060337774
CXCL14,-3.83058041567808,-2.62425975787299,-6.454840173551069
MT3,-3.74810432394669,-1.74171526681126,-5.48981959075795
NUSAP1,-3.64668720013986,-0.991680196924945,-4.638367397064805
SOD2,-3.488190671642,-0.636489916175178,-4.124680587817178
KIF15,-3.48519725516334,-2.24230824408253,-5.72750549924587
CDH4,-3.37318600561189,-2.17769349576689,-5.55087950137878
NEK2,-3.26188209811117,-1.62805027059525,-4.88993236870642
CCNA2,-3.21734282179681,-2.54061118703263,-5.75795400882944
TM4SF1,-3.07317654405976,-0.621913263897584,-3.695089807957344
NCAPH,-3.05724328778977,-1.25614292938121,-4.31338621717098
KNL1,-3.0372883928624,-1.88016680336297,-4.9174551962253705
ASF1B,-3.01735570769138,-1.1924433207296,-4.20979902842098
ENSBTAG00000020100,-3.0123742106479,-0.838928516575531,-3.851302727223431
SGO1,-2.96864877684949,-1.37127597202651,-4.339924748876
ORC1,-2.96166577195796,-1.75675481524009,-4.71842058719805
RENBP,-2.85783590172772,-0.786008032016259,-3.6438439337439794
SHCBP1,-2.85625092222976,-2.05606188145775,-4.912312803687509
GCH1,-2.85042279466265,-0.730041302415616,-3.580464097078266
RASD1,-2.80310686200862,-3.99064761663446,-6.793754478643081
CLSPN,-2.78054240103984,-2.02647898345152,-4.80702138449136
CCNB1,-2.71924467775697,-1.59148986112336,-4.31073453888033
HJURP,-2.70921149002751,-1.46669259512783,-4.17590408515534
SPC25,-2.70789651508942,-0.912371369940483,-3.620267885029903
ESCO2,-2.63236302335877,-1.52743645253578,-4.15979947589455
CEP55,-2.62938132911853,-1.71770384609622,-4.34708517521475
NDC80,-2.60767320559077,-1.77908391550138,-4.38675712109215
ENSBTAG00000009769,-2.58662635868437,-2.4816207327991,-5.06824709148347
FABP7,-2.56310051191533,-2.20841195863658,-4.77151247055191
CENPF,-2.54930650604629,-1.76290845279002,-4.31221495883631
KIF2C,-2.54349305638899,-3.18821712324746,-5.73171017963645
H2AC12,-2.48140655419832,-1.56958077768466,-4.05098733188298
HMGB2,-2.46216222933219,-0.639592359319147,-3.101754588651337
HPGD,-2.44006191695563,-2.1519220422853,-4.59198395924093
MKI67,-2.43282015085203,-1.90463668846987,-4.3374568393219
CDC20,-2.42146446173055,-2.46303615973667,-4.88450062146722
E2F8,-2.41954780963615,-1.32854382764604,-3.7480916372821897
KIF11,-2.41254613888821,-1.03369652932128,-3.44624266820949
DLGAP5,-2.38438400838332,-2.16830875135522,-4.55269275973854
PIMREG,-2.35991201523008,-2.95376940698553,-5.31368142221561
FYN,-2.35838060113919,-0.37003529502097,-2.72841589616016
LTBP2,-2.32443469480666,-1.03208712317719,-3.35652181798385
ADORA2B,-2.30492168316973,-0.999539381322571,-3.304461064492301
BEX2.1,-2.29749562140709,-0.950007599130931,-3.2475032205380208
EFHD1,-2.28592558542828,-2.06069762466058,-4.346623210088859
KIF23,-2.28339735672043,-1.27200001468804,-3.55539737140847
RAB20,-2.25502403860938,-1.3320453715073,-3.58706941011668
TRIM47,-2.25210971471349,-1.45324857389851,-3.705358288612
CENPN,-2.24346722812864,-1.11707519452528,-3.3605424226539196
NCAPG,-2.22368253039997,-0.752859033616363,-2.976541564016333
BUB1B,-2.20262827311524,-1.63712372807501,-3.83975200119025
SERTM1,-2.20079130890367,-5.50600489359553,-7.7067962024992
BUB1,-2.18079054673151,-1.45379303600679,-3.6345835827383
PRC1,-2.16403792227193,-0.616538580619527,-2.780576502891457
PBK,-2.15844101372877,-1.09446437626179,-3.25290538999056
PTX3,-2.14503707836383,-0.146562025806601,-2.291599104170431
FTH1,-2.13675137494,-0.603860372787281,-2.740611747727281
UHRF1,-2.1172557962208,-1.51154646020591,-3.6288022564267104
RAD51AP1,-2.11525373823609,-1.12409912686506,-3.23935286510115
SFRP4,-2.1147786039699,-1.41401727101651,-3.52879587498641
H2AC20,-2.0730269750096,-0.867901540499162,-2.9409285155087623
KIF20B,-2.05327896010671,-0.69883827928486,-2.75211723939157
CCNB2,-2.04690900273439,-1.78716948643912,-3.83407848917351
MIS18A,-2.02681091435578,-0.937411679915939,-2.9642225942717193
CHI3L1,-2.02615274271984,-1.69984114225495,-3.7259938849747902
CHODL,-2.02586703807419,-2.91858131249757,-4.94444835057176
RBP4,-2.02388731110527,-1.20673456134188,-3.2306218724471503
HOMER2,-1.98946161183318,-2.45483652536356,-4.44429813719674
RRM2,-1.98826591008852,-2.38580460807437,-4.37407051816289
SYNE2,-1.96493344289968,-0.737421019978965,-2.7023544628786453
DTX4,-1.95554248195911,-0.990056891405288,-2.945599373364398
SLC16A7,-1.92284624332675,-0.840818332083311,-2.763664575410061
CENPE,-1.90144609784595,-1.33757495697524,-3.23902105482119
SKA3,-1.89922285181466,-1.01685402340536,-2.9160768752200203
SMC2,-1.86912442375231,-0.826988827970622,-2.696113251722932
FTL,-1.85433178260176,-0.411887413283104,-2.266219195884864
MBOAT1,-1.81364116841827,-1.17310064055161,-2.98674180896988
CENPA,-1.79242492044946,-2.01457989731848,-3.8070048177679396
ANXA8L1,-1.78950783514664,-0.614707186538595,-2.404215021685235
KNSTRN,-1.78868611353558,-0.581589561452856,-2.370275674988436
GMNN,-1.76371891002311,-1.30078152639073,-3.06450043641384
CKAP2,-1.74893837540608,-0.693729753078158,-2.442668128484238
ENSBTAG00000051299,-1.74519865663332,-1.44797740574483,-3.19317606237815
ASPM,-1.74386016376521,-2.66006380270304,-4.40392396646825
TPX2,-1.72801519635194,-0.801586517977145,-2.5296017143290848
CENPK,-1.71504467305909,-0.670887639070983,-2.3859323121300733
MCM4,-1.71459681188447,-1.1990911110133,-2.91368792289777
ADIRF,-1.7029901996369,-1.04734848191027,-2.75033868154717
UBE2C,-1.6716351409478,-0.706709987793742,-2.3783451287415422
PDXK,-1.63604840341594,-0.92873163617548,-2.5647800395914198
GINS1,-1.63437861288375,-0.675737769061881,-2.310116381945631
NUF2,-1.61268749005985,-1.50284796144632,-3.1155354515061697
HMGN5,-1.60476640131384,-1.38907446546393,-2.99384086677777
SPARCL1,-1.5804110825119,-0.82041616193853,-2.40082724445043
MCM2,-1.57754365127461,-1.01744672045848,-2.5949903717330898
SERPING1,-1.57643069271058,-0.591362851605238,-2.167793544315818
CKS2,-1.56026703721716,-0.689607534189872,-2.249874571407032
EREG,-1.557025753917,-0.511729323175965,-2.0687550770929652
NAV3,-1.55445989617909,-1.66870572486728,-3.22316562104637
PCNA,-1.52727992363551,-0.766373549904572,-2.2936534735400818
PCLAF,-1.51518126089819,-1.82103315608618,-3.33621441698437
CHAF1A,-1.50633609942955,-0.943199691267776,-2.4495357906973263
MYBL2,-1.44342781017619,-1.53736576256761,-2.9807935727438
VCAN,-1.43220221135494,-0.398278274612158,-1.830480485967098
MCM3,-1.42145216295968,-0.947076122275349,-2.368528285235029
MND1,-1.42037144390095,-1.35061104154545,-2.7709824854464
FIBIN,-1.39727815491853,-0.531571193138846,-1.928849348057376
TKT,-1.38121556283537,-0.607103462500344,-1.988319025335714
C5AR2,-1.34411786943373,-0.57382909959574,-1.91794696902947
MCM10,-1.33771457845056,-0.728121478732759,-2.065836057183319
NFIB,-1.33411399571771,-1.36571039239046,-2.69982438810817
LIG1,-1.33213473032628,-0.593724301190298,-1.925859031516578
ENSBTAG00000011511,-1.30693614587863,-1.11222493128727,-2.4191610771659002
BIRC5,-1.29317910854064,-1.34727559175464,-2.64045470029528
LMNB1,-1.28184741772904,-1.00691086736469,-2.28875828509373
CDCA3,-1.26845231619387,-1.94976905618252,-3.21822137237639
SMC4,-1.26624108777475,-0.77246236725698,-2.03870345503173
EZH2,-1.26403618684698,-0.474311271244081,-1.7383474580910612
ATAD2,-1.25000966616435,-0.438786216654701,-1.688795882819051
CAPN6,-1.21675014559622,-6.88103883357426,-8.09778897917048
LBR,-1.20401802707539,-0.741354770205964,-1.945372797281354
AK2,-1.19818038926266,-0.457181265133255,-1.6553616543959149
CEBPD,-1.19728712054874,-0.72725503239266,-1.9245421529414002
NOP10,-1.14832129484614,-0.561089023835246,-1.709410318681386
PTTG1,-1.12631816118084,-1.88456361539313,-3.01088177657397
KLF6,-1.12581316724438,-0.203513952772606,-1.329327120016986
MCM5,-1.11869734192765,-1.48061137417954,-2.59930871610719
TYMS,-1.04745829738272,-0.846688942782132,-1.894147240164852
ENSBTAG00000019018,-1.02718717491186,-1.161533169886,-2.18872034479786
ACO1,-1.0160292089363,-0.19604960806771,-1.2120788170040102
NCF4,-1.01493534192903,-2.24370662319246,-3.2586419651214897
NASP,-1.00701388092273,-0.693117299705218,-1.700131180627948
BID,-1.00297696400537,-0.446152880731119,-1.449129844736489
USP1,-0.990982835420409,-0.445495767780985,-1.4364786032013939
TXN,-0.981358468629438,-0.472432074049063,-1.453790542678501
PTMA.1,-0.980449637170983,-0.681450350526314,-1.6618999876972969
FBN1,-0.978508954514028,-0.160322627030242,-1.13883158154427
DDX39A,-0.973000764329707,-0.870637102726278,-1.843637867055985
ATP1B3,-0.923043269953742,-0.211590263298942,-1.134633533252684
DNMT1,-0.921811732948582,-0.617115554152778,-1.53892728710136
BLVRB,-0.909877208109949,-0.360614662810052,-1.270491870920001
ANP32E,-0.908785305757241,-0.5166377669587,-1.4254230727159412
TUBB4B,-0.896658109835059,-0.244555492113921,-1.14121360194898
PA2G4,-0.894941363827718,-0.403104987177525,-1.2980463510052431
DPYSL2,-0.885703289093281,-0.263240673203056,-1.1489439622963369
CENPS,-0.88437212339487,-0.803777755389171,-1.688149878784041
DTYMK,-0.883130303029411,-0.531064749878062,-1.414195052907473
MAOA,-0.87700626777954,-1.02259882886917,-1.8996050966487101
PPP1CC,-0.871990538810882,-0.49663351291713,-1.368624051728012
MCM7,-0.848352878556105,-0.43113921553049,-1.279492094086595
TEX2,-0.845467902071898,-0.239680545807237,-1.0851484478791351
ANP32B,-0.82689946088955,-0.480743158102555,-1.307642618992105
CANX,-0.805602998611491,-0.331599962543263,-1.137202961154754
HMGB1,-0.756528293980083,-0.789185933349253,-1.545714227329336
OXCT1,-0.753609007471371,-0.296588640952917,-1.050197648424288
STMN1,-0.7434020519071,-0.575285355709462,-1.318687407616562
LDHA,-0.740702114891126,-0.454148553474165,-1.194850668365291
HSPD1,-0.719453920423235,-0.38397885466889,-1.103432775092125
EMG1,-0.71911307339269,-0.378526061047946,-1.097639134440636
PAFAH1B3,-0.704720491459515,-0.262434063618524,-0.9671545550780389
HSPB1,-0.678353135753338,-0.263016759384827,-0.941369895138165
H2AZ1,-0.660642217684413,-0.948966279335873,-1.609608497020286
ATF4,-0.652857916676529,-0.185834832330763,-0.8386927490072921
TIMM8B,-0.64744260317928,-0.207657541147513,-0.855100144326793
IMPDH2,-0.646364542058146,-0.620847890844601,-1.267212432902747
SLC25A5,-0.645326070100536,-0.684296062757733,-1.329622132858269
FKBP5,-0.634203946849852,-0.180409770075317,-0.814613716925169
NCL,-0.627428148044361,-0.379443152652155,-1.006871300696516
DEK,-0.625551443827897,-0.592217819215034,-1.217769263042931
PSMB8,-0.623250763495123,-0.559174957466072,-1.182425720961195
RPS29.1,-0.62061596685393,-0.0803819741381417,-0.7009979409920717
HSPE1,-0.607037500649586,-0.300510444438613,-0.9075479450881989
ENSBTAG00000016347,-0.602129382367801,-0.32391717227729,-0.926046554645091
FBL,-0.592579754092163,-0.508555002512776,-1.101134756604939
PLIN2,-0.584928302720043,-0.506177715726044,-1.091106018446087
TCEA1,-0.581120933169609,-0.224714977505242,-0.8058359106748509
NUDC,-0.576249036656429,-0.298086086885974,-0.8743351235424031
HPRT1,-0.573809402752912,-0.375158347100167,-0.9489677498530791
FKBP4,-0.572303632312733,-0.409805962027567,-0.9821095943403
LSM7,-0.57123221304903,-0.387042387792853,-0.958274600841883
RNPS1,-0.535455734014642,-0.20245968487501,-0.737915418889652
ST13,-0.529071430583174,-0.107580420992511,-0.6366518515756849
DKC1,-0.527758313024944,-0.231649373248666,-0.75940768627361
