Gene,d0→d2,d2→d5,Total
COL6A5,6.05621973380565,1.07485110487197,7.131070838677619
DKK2,5.66567536145634,0.452792627000972,6.118467988457311
TNNC2,5.46814265836423,0.552897841295044,6.021040499659274
TMEM40,5.45910998182622,0.710732182844163,6.169842164670383
MYLPF,5.17689055641225,1.79321815053406,6.97010870694631
FST,4.93091400651993,0.817351844657749,5.748265851177679
RARRES1,4.59375393549748,0.282610541427938,4.876364476925418
NEB,4.39364231621033,0.705869745165392,5.099512061375722
ASPA,4.16258513143972,1.15870442595874,5.32128955739846
MSLN,4.122621482503,0.932137206503877,5.054758689006877
TM7SF2,4.1165675975525,0.302525311008901,4.419092908561401
SCN1A,3.8392950315863,0.715906064763969,4.555201096350269
CTNNA2,3.71191968618068,1.41044522531618,5.1223649114968595
MMP23,3.66915961573278,0.819074509159339,4.488234124892119
METRN,3.66333574144328,0.728106052868936,4.391441794312216
PAX3,3.47627848076396,1.95386128804662,5.43013976881058
TENT5A,3.38979712530179,0.581256750095011,3.9710538753968008
ECM2,3.35052563800909,0.596476810483177,3.9470024484922672
CCND1,3.2667897545897,0.3316516342788,3.5984413888685
COL1A1,3.24586236006004,1.40130416498053,4.64716652504057
KLHL41,3.20219187104499,0.343741016924517,3.545932887969507
CCDC80,3.16939637376907,0.553616613628202,3.7230129873972717
LMO7,3.1693743169889,0.362231181545701,3.531605498534601
PCSK1N,3.12661983990399,1.28665845755376,4.41327829745775
TNFRSF25,3.10916628451639,1.6926775819568,4.80184386647319
CRNN,3.06641830984832,0.679966621830397,3.7463849316787172
ROR2,3.04479742897845,1.02003255333723,4.06482998231568
COL1A2,2.95579102439405,1.42014731836835,4.3759383427623995
NR2F1,2.83786987743563,0.817758420004516,3.655628297440146
IRX5,2.83630723166948,0.403760776485758,3.240068008155238
FBLN2,2.70820081746215,1.07687254810778,3.7850733655699305
FBLN5,2.59042787816371,0.923694025904795,3.5141219040685048
CDH13,2.58917764582847,1.07393839316771,3.66311603899618
THBS1,2.58740919908034,0.559295174253235,3.146704373333575
ADORA1,2.57617286631463,0.354746417133579,2.930919283448209
CPA5,2.50418143524865,0.511173601845567,3.015355037094217
TAGLN,2.50151887503719,0.909240855675409,3.4107597307125994
COL11A1,2.4876737054286,0.386187940299195,2.873861645727795
ENSBTAG00000034220,2.47369846601105,1.23841650084972,3.71211496686077
HS3ST2,2.42385894578275,0.889844224523554,3.313703170306304
PLEKHG5,2.41058117394802,0.898358894718285,3.3089400686663053
GPC4,2.34118445213309,0.599245173285973,2.9404296254190627
CCDC102B,2.31786724615258,1.32417684631046,3.64204409246304
CREB3L1,2.30642142836381,0.38049900114822,2.68692042951203
MYL9,2.30207226963514,0.287019171020068,2.589091440655208
FNDC5,2.29000134939191,0.727969116888381,3.017970466280291
B3GALT2,2.27128610140555,0.634269275488758,2.9055553768943083
ECHDC1,2.24598826590752,0.730374131050749,2.976362396958269
INHBA,2.19923604121086,1.1652217193675,3.36445776057836
SPP1,2.1705404227497,1.01824421912145,3.18878464187115
CPE,2.16563369843405,1.56583133110367,3.73146502953772
PTPRF,2.14769751779564,0.726479528375178,2.8741770461708183
LOX,2.12656480044368,0.529726086016863,2.656290886460543
ITGA1,2.12532966721145,1.33697631064277,3.4623059778542196
ELL2,2.12279185059988,0.79229058183912,2.915082432439
BCAT1,2.11642420966947,1.16354027203736,3.27996448170683
PRKAR2B,2.10394560070554,0.396169803650004,2.500115404355544
SMARCD3,2.08196323484783,0.282821857754221,2.364785092602051
BFSP2,2.03062974446077,1.11632548284548,3.1469552273062504
CXCL11,2.03054036035051,0.869017026873835,2.899557387224345
IRX3,2.02370344855462,0.246511746340581,2.2702151948952007
PDGFRL,1.99654621258487,0.445320967579391,2.441867180164261
CCND2,1.954162719973,0.802335400987346,2.7564981209603463
PRKAG2,1.94875191836445,0.743976760939624,2.692728679304074
RTN2,1.94070654559145,0.194562498875536,2.135269044466986
OXT,1.90875769052177,1.59953616376415,3.5082938542859203
MYPN,1.88423469862099,0.866534856618358,2.750769555239348
SMOC1,1.88049471832592,1.02156187040987,2.90205658873579
PLK2,1.8557088652392,0.862402523142085,2.718111388381285
VASH2,1.81859444309767,0.231010013807096,2.049604456904766
MEST,1.81533408489337,0.644411588691548,2.459745673584918
SVEP1,1.80920162251629,0.482951868836181,2.292153491352471
DSE,1.80084353511868,0.403376207177434,2.204219742296114
CPNE2,1.78273932257945,0.465910745991828,2.248650068571278
FEZ1,1.75095581948671,0.593936953517885,2.344892773004595
PRKCI,1.74552619027057,0.493988841165967,2.239515031436537
SPARC,1.74346311237636,0.897049023087506,2.640512135463866
RBPMS,1.73456798543827,0.420216874213495,2.154784859651765
SYNC,1.7337448598804,0.64309178957252,2.37683664945292
ZMAT3,1.72645007263497,0.617244919001104,2.343694991636074
TMEM189,1.71545743103446,0.408049024360865,2.123506455395325
HSPG2,1.70786665735774,0.471603244217148,2.1794699015748877
CBLN4,1.69710320815469,0.536466367785815,2.233569575940505
ITIH5,1.68197656315898,0.43570004519777,2.11767660835675
ABCG2,1.67750860282241,0.393170967406514,2.070679570228924
CHRNG,1.67346602913755,0.708378337251695,2.3818443663892452
MID1,1.66730875339494,0.51869841836659,2.18600717176153
TSC22D2,1.65831166279523,0.676939041033124,2.335250703828354
QSOX1,1.6408530623315,0.722704024077563,2.363557086409063
DPYSL3,1.63379813107483,0.960067966501052,2.593866097575882
HERC4,1.62900621469339,0.741340554527565,2.370346769220955
BMP4,1.61959066461731,0.97242518107014,2.59201584568745
CHD3,1.60926894307069,0.428675843178903,2.037944786249593
MET,1.60157873918373,0.360517169121466,1.9620959083051959
PCOLCE,1.59657598731295,0.706394433457585,2.302970420770535
ALCAM,1.58904864377993,0.795265027585016,2.384313671364946
ITGB5,1.58795639131438,0.63004279369299,2.21799918500737
EFEMP2,1.55285710344845,0.545017072106379,2.097874175554829
RNF150,1.55045060716562,0.442040903769993,1.9924915109356132
DCBLD2,1.55007710924873,0.828353293014515,2.3784304022632448
DNER,1.52871306984433,1.10304879732962,2.63176186717395
MICAL2,1.51443849994125,0.580614336722475,2.095052836663725
SGCA,1.51384636118233,0.273065399497999,1.786911760680329
RBFOX2,1.50983092019012,0.280031512214513,1.789862432404633
LOXL1,1.49366102437644,0.476030700908916,1.969691725285356
SNX25,1.47824914207464,0.644216752746018,2.122465894820658
PDLIM2,1.46660569946498,0.379092019001187,1.8456977184661671
TIMP2,1.46213256536114,0.636053305904623,2.0981858712657626
AHCYL1,1.44861537775989,0.468058647933097,1.916674025692987
ERRFI1,1.44418910208657,1.2364326333263,2.68062173541287
EXOC6,1.43356449070775,0.795241795199789,2.228806285907539
COL5A1,1.43290340229308,0.532224752100307,1.965128154393387
FMOD,1.42386446006844,1.10326501861765,2.5271294786860903
BCAM,1.42285100189548,0.276524683942107,1.699375685837587
KDM6B,1.41037364990777,0.459382900833017,1.869756550740787
ZNF706,1.39646616735367,0.535524424707232,1.931990592060902
NCAM1,1.39302868504911,0.28276904829936,1.6757977333484702
PLD3,1.38921185454024,0.777300860519193,2.166512715059433
TNS1,1.38753753441174,0.836797655410558,2.224335189822298
SMURF2,1.380598874034,0.64589857865202,2.02649745268602
PXN,1.36923167592144,0.380617543780373,1.749849219701813
SYTL2,1.36829943320255,0.290256838743262,1.658556271945812
ANXA3,1.3430405028303,0.534386049722332,1.877426552552632
ASNS,1.34223932711972,0.398392819829443,1.740632146949163
SRGAP1,1.3387172949578,0.421661381825546,1.760378676783346
HSPB6,1.28988935962601,0.45054725574701,1.74043661537302
CTNNAL1,1.28586283718601,0.774797932120251,2.060660769306261
CHRNA1,1.27579334079611,0.356653881400324,1.632447222196434
SULF2,1.24226241080804,0.916329844510495,2.158592255318535
DLC1,1.20585293236627,0.544517765271089,1.7503706976373588
NES,1.1817610083994,0.767368081223283,1.949129089622683
GSE1,1.17261335472134,0.226239837563451,1.398853192284791
MAGED1,1.17202560483261,0.285245915365585,1.4572715201981952
ATP10A,1.16749488117171,0.93790059649125,2.10539547766296
HSF2BP,1.15958605531351,0.863194440338662,2.0227804956521718
PALLD,1.15741439053457,0.537290074685741,1.694704465220311
RAP1GDS1,1.1536252973048,0.463439814851817,1.617065112156617
MYH10,1.14707834623295,0.309160476154148,1.456238822387098
DSTN,1.12567996698211,0.493925829183212,1.619605796165322
FHOD3,1.12522625071927,0.527178977664064,1.652405228383334
ACTN1,1.11401396122215,0.837369984138006,1.951383945360156
ARSA,1.11390861776846,0.471810595711327,1.585719213479787
TPM2,1.09337834930031,0.454885993707768,1.548264343008078
ENSBTAG00000001143,1.08738516452561,1.25474775461221,2.3421329191378204
THSD1,1.07405907415034,0.431170525762275,1.505229599912615
TNC,1.06922000493875,1.62087447299676,2.69009447793551
FITM2,1.06161284974334,0.520901022314634,1.582513872057974
LUM,1.05964658510371,0.85814101600438,1.91778760110809
CDK6,1.05553899828247,0.628165771391443,1.6837047696739131
DIPK1A,1.05497597101389,0.577979017771394,1.6329549887852841
CTHRC1,1.05398703814738,1.40617391542536,2.46016095357274
NBEA,1.04037708334591,0.540716769826829,1.5810938531727392
ANK3,1.04030021136671,0.258837218581209,1.299137429947919
NOL3,1.0358785164114,0.260872202836016,1.296750719247416
MAP1LC3A,1.03445596033825,0.42661037118439,1.46106633152264
CIB2,1.02794642634701,0.761207675213043,1.789154101560053
GJA1,1.02279801348055,0.571941717778607,1.5947397312591571
PDLIM4,1.02031538563387,0.283699245054164,1.304014630688034
ARHGAP29,1.01994937852462,0.33662157321265,1.3565709517372702
MYL6,1.01885602298093,0.177936171370795,1.196792194351725
CXCL10,1.00664751133545,0.243353205128895,1.250000716464345
ENC1,1.00624104361072,0.662618943233358,1.668859986844078
OAT,0.989128283988364,0.399028079159802,1.3881563631481662
GALNT16,0.98850401274969,0.620547703871307,1.609051716620997
FHL2,0.983122697985833,0.430952172606633,1.414074870592466
DDR1,0.982887454234267,0.444764719650504,1.4276521738847712
NTN4,0.982259257609555,1.0803457611717,2.0626050187812552
ENSBTAG00000048631,0.976324279463438,0.945367292369887,1.9216915718333252
CRABP2,0.976234528795693,1.12353287884254,2.099767407638233
P3H4,0.972573343305151,0.275734472648277,1.248307815953428
RGMB,0.959493282319632,0.391121465852897,1.350614748172529
SPATA20,0.959124491774852,0.31085779099601,1.269982282770862
TLL2,0.957243306204664,0.446053877464909,1.4032971836695731
TMEM119,0.952547256120758,0.702654309541175,1.655201565661933
